"WR","Overall","Player","Team","Bye","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","AVG","Real-Time (?)"
"280","840","Anthony Gould","IND","11","","","","243","","","243.0",""
"281","843","Bub Means","NO","11","","","","245","","","245.0",""
"282","845","Malachi Corley","NYJ","9","","","","246","","","246.0",""
"283","861","Isaiah Williams","CIN","10","","","","247","","","247.0",""
"284","864","Mason Tipton","NO","11","","","","248","","","248.0",""
"285","865","Xavier Weaver","ARI","8","","","","249","","","249.0",""
"286","867","Bryce Oliver","TEN","10","","","","250","","","250.0",""
"287","871","Kameron Johnson","TB","9","","","","251","","","251.0",""
"288","876","Jahmal Banks","BAL","7","","","","252","","","252.0",""
"289","878","Kelly Akharaiyi","","","","","","253","","","253.0",""
"290","881","Jahdae Walker","CHI","5","","","","254","","","254.0",""
"291","883","Jamoi Mayes","CIN","10","","","","255","","","255.0",""
"292","884","Luke Floriea","","","","","","256","","","256.0",""
"293","887","Traeshon Holden","DAL","10","","","","257","","","257.0",""
"294","888","Courtney Jackson","DEN","12","","","","258","","","258.0",""
"295","893","Ajou Ajou","IND","11","","","","261","","","261.0",""
"296","754","Elijhah Badger","KC","10","","","","262","","","262.0",""
"297","805","Ketron Jackson Jr.","","","","","","264","","","264.0",""
"298","569","Tommy Mellott","LV","8","","","","265","","","265.0",""
"299","752","Silas Bolden","","","","","","266","","","266.0",""
"300","825","Beaux Collins","NYG","14","","","","267","","","267.0",""
"301","830","Giles Jackson","","","","","","269","","","269.0",""
"302","755","Roc Taylor","","","","","","270","","","270.0",""
"303","847","Ja'Corey Brooks","WAS","12","","","","273","","","273.0",""
"304","849","Winston Wright","","","","","","276","","","276.0",""
"305","850","Phil Lutz","","","","","","277","","","277.0",""
"306","573","Phillip Dorsett","II","","","","","278","","","278.0",""
"307","","Nelson Agholor","","","","","","279","","","279.0",""
"308","583","Trent Taylor","SF","14","","","","280","","","280.0",""
"309","","Deon Cain","BUF","7","","","","281","","","281.0",""
"310","896","DJ Chark Jr.","","","","","","282","","","282.0",""
"311","897","Russell Gage Jr.","SF","14","","","","283","","","283.0",""
"312","898","Trent Sherfield Sr.","DEN","12","","","","284","","","284.0",""
"313","899","Malik Turner","SF","14","","","","285","","","285.0",""
"314","903","Kelvin Harmon","","","","","","286","","","286.0",""
"315","689","Ashton Dulin","IND","11","","","","287","","","287.0",""
"316","905","Andy Isabella","","","","","","288","","","288.0",""
"317","906","David Sills","ATL","5","","","","289","","","289.0",""
"318","","James Proche II","TEN","10","","","","290","","","290.0",""
