"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Devin Duvernay","CHI","3.6","35.2","0.2","0.0","2.0","0.0","0.5","3.9"
"Ryan Flournoy","DAL","2.4","25.6","0.2","0.0","0.0","0.0","0.0","3.5"
"Nick Nash","ATL","3.0","35.0","0.0","0.0","0.0","0.0","0.0","3.5"
"Mitchell Tinsley","CIN","2.5","28.8","0.1","0.0","0.0","0.0","0.0","3.4"
"Anthony Gould","IND","1.8","22.8","0.1","0.0","2.5","0.0","0.0","2.8"
"Jacob Cowing","SF","1.1","14.9","0.1","0.0","8.5","0.0","0.0","2.8"
"Laviska Shenault Jr.","BUF","1.8","19.5","0.1","0.0","0.0","0.0","0.0","2.7"
"Ashton Dulin","IND","1.7","19.5","0.1","0.0","1.7","0.0","0.0","2.7"
"Trent Sherfield Sr.","DEN","1.8","20.9","0.1","0.0","0.0","0.0","0.0","2.6"
"Isaiah Williams","CIN","1.6","18.8","0.1","0.0","0.0","0.0","0.0","2.6"
"Tank Dell","HOU","2.0","24.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Isaiah Neyor","GB","2.0","24.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Steven Sims Jr.","SEA","1.7","17.0","0.1","0.0","0.0","0.0","0.0","2.3"
"Kevin Austin Jr.","NO","1.6","18.9","0.1","0.0","0.0","0.0","0.0","2.2"
"Jimmy Horn Jr.","CAR","1.5","18.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Jason Brownlee","KC","1.0","14.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Braxton Berrios","HOU","1.0","10.5","0.0","0.0","2.5","0.0","0.0","1.3"
"Chris Moore","WAS","1.0","13.0","0.0","0.0","0.0","0.0","0.0","1.3"
"LaJohntay Wester","BAL","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Nikko Remigio","KC","0.5","6.5","0.0","0.0","0.0","0.0","0.0","0.7"
"Ihmir Smith-Marsette","NYG","0.8","9.5","0.1","0.0","2.5","0.0","0.5","0.5"
"Trenton Irwin","JAC","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.5"
"Xavier Smith","LAR","1.0","11.0","0.0","0.0","2.5","0.0","0.5","0.4"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"River Cracraft","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Taylor","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keith Kirkwood","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
